code,label_en,usage_count,full_uri
LCC,Free movement of capital,2721,http://publications.europa.eu/resource/authority/subject-matter/LCC
SAUV,Protective measures,2690,http://publications.europa.eu/resource/authority/subject-matter/SAUV
IPRO,Intellectual property,2672,http://publications.europa.eu/resource/authority/subject-matter/IPRO
MONA,Monetary measures in the field of agriculture,2602,http://publications.europa.eu/resource/authority/subject-matter/MONA
TXTL,Textiles,2596,http://publications.europa.eu/resource/authority/subject-matter/TXTL
PEM,Economic and monetary policy,2471,http://publications.europa.eu/resource/authority/subject-matter/PEM
RSTR,Quantitative restrictions,2446,http://publications.europa.eu/resource/authority/subject-matter/RSTR
ACP,"African, Caribbean and Pacific States (ACP)",2439,http://publications.europa.eu/resource/authority/subject-matter/ACP
SIDE,Steel industry,2436,http://publications.europa.eu/resource/authority/subject-matter/SIDE
SUCR,Sugar,2427,http://publications.europa.eu/resource/authority/subject-matter/SUCR
DISC,Anti-discrimination,2350,http://publications.europa.eu/resource/authority/subject-matter/DISC
SECU,Safety at work and elsewhere,2238,http://publications.europa.eu/resource/authority/subject-matter/SECU
MEEQ,Measures having equivalent effect,2076,http://publications.europa.eu/resource/authority/subject-matter/MEEQ
INDU,Industry,1954,http://publications.europa.eu/resource/authority/subject-matter/INDU
IMMI,Immigration and asylum policy,1842,http://publications.europa.eu/resource/authority/subject-matter/IMMI
DGEN,General provisions,1831,http://publications.europa.eu/resource/authority/subject-matter/DGEN
IOTR,Other,1813,http://publications.europa.eu/resource/authority/subject-matter/IOTR
CULT,Culture,1710,http://publications.europa.eu/resource/authority/subject-matter/CULT
TECN,Technology,1691,http://publications.europa.eu/resource/authority/subject-matter/TECN
RPRE,Preferential systems,1629,http://publications.europa.eu/resource/authority/subject-matter/RPRE
CORP:OP_DATPRO,Provisional data,1616,http://publications.europa.eu/resource/authority/corporate-body/OP_DATPRO
RIZ,Rice,1609,http://publications.europa.eu/resource/authority/subject-matter/RIZ
SEME,Seeds and seedlings,1606,http://publications.europa.eu/resource/authority/subject-matter/SEME
RECH,Research and training,1530,http://publications.europa.eu/resource/authority/subject-matter/RECH
PORC,Pigmeat,1522,http://publications.europa.eu/resource/authority/subject-matter/PORC
NUCL,Nuclear common market,1491,http://publications.europa.eu/resource/authority/subject-matter/NUCL
COOR,Coordination of structural instruments,1475,http://publications.europa.eu/resource/authority/subject-matter/COOR
RECO,Judicial proceedings,1398,http://publications.europa.eu/resource/authority/subject-matter/RECO
PME,Small and medium-sized enterprises,1390,http://publications.europa.eu/resource/authority/subject-matter/PME
O-V,Eggs and poultry,1374,http://publications.europa.eu/resource/authority/subject-matter/O-V
TDCC,Customs duties: Community tariff quotas,1369,http://publications.europa.eu/resource/authority/subject-matter/TDCC
CONT,Quotas - third countries,1354,http://publications.europa.eu/resource/authority/subject-matter/CONT
DFON,Fundamental rights,1353,http://publications.europa.eu/resource/authority/subject-matter/DFON
IPBI,"Pesticides, biocides",1344,http://publications.europa.eu/resource/authority/subject-matter/IPBI
CLUG,Lugano Convention,1318,http://publications.europa.eu/resource/authority/subject-matter/CLUG
CIT,Citizenship of the Union,1296,http://publications.europa.eu/resource/authority/subject-matter/CIT
COJP,Judicial cooperation in criminal matters,1270,http://publications.europa.eu/resource/authority/subject-matter/COJP
MARC,Public procurement in the European Union,1248,http://publications.europa.eu/resource/authority/subject-matter/MARC
IANO,"Live animals, germinal products and products of animal origin",1202,http://publications.europa.eu/resource/authority/subject-matter/IANO
RTR,Trans-European networks,1154,http://publications.europa.eu/resource/authority/subject-matter/RTR
POSI,Dominant position,1130,http://publications.europa.eu/resource/authority/subject-matter/POSI
RPRO,Own resources,1119,http://publications.europa.eu/resource/authority/subject-matter/RPRO
HARO,Harmonisation of customs law: origin of goods,1092,http://publications.europa.eu/resource/authority/subject-matter/HARO
TABA,Tobacco,1091,http://publications.europa.eu/resource/authority/subject-matter/TABA
ASIL,Asylum policy,1077,http://publications.europa.eu/resource/authority/subject-matter/ASIL
OVIN,Sheepmeat and goatmeat,1072,http://publications.europa.eu/resource/authority/subject-matter/OVIN
FINC,Financial provisions ECSC,1048,http://publications.europa.eu/resource/authority/subject-matter/FINC
PRIV,Privileges and immunities,1046,http://publications.europa.eu/resource/authority/subject-matter/PRIV
GATT,General Agreement on Tariffs and Trade (GATT),1039,http://publications.europa.eu/resource/authority/subject-matter/GATT
FLT,Processed fruit and vegetables,1031,http://publications.europa.eu/resource/authority/subject-matter/FLT
c_962003de,Legal framework of the ESCB,1030,http://publications.europa.eu/resource/authority/subject-matter/c_962003de
INFQ,Electronic data processing,998,http://publications.europa.eu/resource/authority/subject-matter/INFQ
FSE,European Social Fund (ESF),987,http://publications.europa.eu/resource/authority/subject-matter/FSE
ACTE,Acts of the institutions,979,http://publications.europa.eu/resource/authority/subject-matter/ACTE
CONJ,Conjunctural policy,953,http://publications.europa.eu/resource/authority/subject-matter/CONJ
OCM,Common organisation of agricultural markets,925,http://publications.europa.eu/resource/authority/subject-matter/OCM
CHDF,Charter of Fundamental Rights,886,http://publications.europa.eu/resource/authority/subject-matter/CHDF
POLL,Pollution,860,http://publications.europa.eu/resource/authority/subject-matter/POLL
ITDI,Trade defence instruments,838,http://publications.europa.eu/resource/authority/subject-matter/ITDI
IFPH,Feed – products and hygiene,833,http://publications.europa.eu/resource/authority/subject-matter/IFPH
ASSI,Assistance,818,http://publications.europa.eu/resource/authority/subject-matter/ASSI
FED,European Development Fund (EDF),811,http://publications.europa.eu/resource/authority/subject-matter/FED
BCE,European Central Bank (ECB),784,http://publications.europa.eu/resource/authority/subject-matter/BCE
PTOM,Overseas countries and territories,782,http://publications.europa.eu/resource/authority/subject-matter/PTOM
c_b1a922fd,Financial market stability,770,http://publications.europa.eu/resource/authority/subject-matter/c_b1a922fd
HARV,Harmonisation of customs law: value for customs purposes,754,http://publications.europa.eu/resource/authority/subject-matter/HARV
FEDE,European Regional Development Fund (ERDF),746,http://publications.europa.eu/resource/authority/subject-matter/FEDE
IOVC,"Official controls, veterinary checks",746,http://publications.europa.eu/resource/authority/subject-matter/IOVC
TEEQ,Charges having an equivalent effect,711,http://publications.europa.eu/resource/authority/subject-matter/TEEQ
PDON,Data protection,701,http://publications.europa.eu/resource/authority/subject-matter/PDON
