code,label_en,usage_count,full_uri
BT,Tropical timber,35,http://publications.europa.eu/resource/authority/subject-matter/BT
HARE,"Harmonisation of customs law: warehouses, free zones",34,http://publications.europa.eu/resource/authority/subject-matter/HARE
c_64b94fae,Cash changeover,34,http://publications.europa.eu/resource/authority/subject-matter/c_64b94fae
c_4e12d83d,Exchange of information and public access to documents,34,http://publications.europa.eu/resource/authority/subject-matter/c_4e12d83d
c_12480e7d,Monetary policy instruments,34,http://publications.europa.eu/resource/authority/subject-matter/c_12480e7d
c_cc640542,Confidentiality,33,http://publications.europa.eu/resource/authority/subject-matter/c_cc640542
ICRU,Compatibility rules,32,http://publications.europa.eu/resource/authority/subject-matter/ICRU
ASTU,Assistance to Ukraine,32,http://publications.europa.eu/resource/authority/subject-matter/ASTU
c_23d62986,Reporting,31,http://publications.europa.eu/resource/authority/subject-matter/c_23d62986
c_04b171e5,Financial accounts,27,http://publications.europa.eu/resource/authority/subject-matter/c_04b171e5
c_ac4906db,Supervisory fees,27,http://publications.europa.eu/resource/authority/subject-matter/c_ac4906db
HARD,Harmonisation of customs law: customs territory,26,http://publications.europa.eu/resource/authority/subject-matter/HARD
MECA,"Medium-sized firms, distributive trades and craft industries",24,http://publications.europa.eu/resource/authority/subject-matter/MECA
c_18755e4d,Exchange rate mechanism (ERM II),24,http://publications.europa.eu/resource/authority/subject-matter/c_18755e4d
IBER,Block exemption regulations,24,http://publications.europa.eu/resource/authority/subject-matter/IBER
c_b21ec68a,Transparency,23,http://publications.europa.eu/resource/authority/subject-matter/c_b21ec68a
ITSA,Trade statistics,21,http://publications.europa.eu/resource/authority/subject-matter/ITSA
c_714f9151,Foreign exchange,20,http://publications.europa.eu/resource/authority/subject-matter/c_714f9151
c_625f1587,Securities holdings statistics,20,http://publications.europa.eu/resource/authority/subject-matter/c_625f1587
ACIE,Steel,19,http://publications.europa.eu/resource/authority/subject-matter/ACIE
ISHO,Substances of human origin,17,http://publications.europa.eu/resource/authority/subject-matter/ISHO
IAON,Annex 1 Provisions of Union law referred to in Article 2(1),17,http://publications.europa.eu/resource/authority/subject-matter/IAON
c_69c82520,Data protection matters,17,http://publications.europa.eu/resource/authority/subject-matter/c_69c82520
IANW,Animal welfare,16,http://publications.europa.eu/resource/authority/subject-matter/IANW
c_3e1e305a,Financial assistance,16,http://publications.europa.eu/resource/authority/subject-matter/c_3e1e305a
ISPH,Sanitary and phytosanitary – Other,15,http://publications.europa.eu/resource/authority/subject-matter/ISPH
IABR,Animal breeding,15,http://publications.europa.eu/resource/authority/subject-matter/IABR
IMEQ,Marine equipment,15,http://publications.europa.eu/resource/authority/subject-matter/IMEQ
c_40b2d24f,Procurement,14,http://publications.europa.eu/resource/authority/subject-matter/c_40b2d24f
CAO,Rubber,14,http://publications.europa.eu/resource/authority/subject-matter/CAO
IAID,Animal identification,13,http://publications.europa.eu/resource/authority/subject-matter/IAID
IERE,Electrical and radio equipment,13,http://publications.europa.eu/resource/authority/subject-matter/IERE
IEPA,Explosives and pyrotechnic articles,13,http://publications.europa.eu/resource/authority/subject-matter/IEPA
RSN,Regulation of digital services,13,http://publications.europa.eu/resource/authority/subject-matter/RSN
c_f7fa4b33,Euro short term rate,12,http://publications.europa.eu/resource/authority/subject-matter/c_f7fa4b33
IMIN,Measuring instruments,11,http://publications.europa.eu/resource/authority/subject-matter/IMIN
c_af796aa3,Eurosystem reserve management services,11,http://publications.europa.eu/resource/authority/subject-matter/c_af796aa3
IPRU,Procedural rules,10,http://publications.europa.eu/resource/authority/subject-matter/IPRU
IOTH,Others,10,http://publications.europa.eu/resource/authority/subject-matter/IOTH
c_db8034fd,Close cooperation,10,http://publications.europa.eu/resource/authority/subject-matter/c_db8034fd
c_cd594a3b,Fraud prevention,9,http://publications.europa.eu/resource/authority/subject-matter/c_cd594a3b
IGAP,Gas appliances,8,http://publications.europa.eu/resource/authority/subject-matter/IGAP
IANA,Acts referring to the notion of aid,8,http://publications.europa.eu/resource/authority/subject-matter/IANA
RMN,Regulation of digital markets,8,http://publications.europa.eu/resource/authority/subject-matter/RMN
IAPA,Compensation and assistance to passengers,8,http://publications.europa.eu/resource/authority/subject-matter/IAPA
IPRV,Pressure vessels,6,http://publications.europa.eu/resource/authority/subject-matter/IPRV
c_0e6e516f,Foreign exchange and Foreign reserves,6,http://publications.europa.eu/resource/authority/subject-matter/c_0e6e516f
FD,Hard fibres,5,http://publications.europa.eu/resource/authority/subject-matter/FD
LIEG,Cork,5,http://publications.europa.eu/resource/authority/subject-matter/LIEG
ISAR,State Aid rules in the TFEU,5,http://publications.europa.eu/resource/authority/subject-matter/ISAR
c_6f402b92,External relations matters,5,http://publications.europa.eu/resource/authority/subject-matter/c_6f402b92
c_8a588fbc,Significance assessments,4,http://publications.europa.eu/resource/authority/subject-matter/c_8a588fbc
IPFI,Protection of the Union’s financial interests,4,http://publications.europa.eu/resource/authority/subject-matter/IPFI
SUBV,Subsidies and aids of the High Authority,4,http://publications.europa.eu/resource/authority/subject-matter/SUBV
ITFO,"Textiles, footwear",4,http://publications.europa.eu/resource/authority/subject-matter/ITFO
TIN,Tin,4,http://publications.europa.eu/resource/authority/subject-matter/TIN
PENU,Shortage,3,http://publications.europa.eu/resource/authority/subject-matter/PENU
IFCM,Food contact material,3,http://publications.europa.eu/resource/authority/subject-matter/IFCM
TDCA,Customs duties: speed-up decisions,3,http://publications.europa.eu/resource/authority/subject-matter/TDCA
SOLI,Solidarity clause,2,http://publications.europa.eu/resource/authority/subject-matter/SOLI
IRCR,Recreational craft,2,http://publications.europa.eu/resource/authority/subject-matter/IRCR
ILMA,Lifting and mechanical handling appliances,2,http://publications.europa.eu/resource/authority/subject-matter/ILMA
ITPU,Transparency of financial relations between Member States and public undertakings,2,http://publications.europa.eu/resource/authority/subject-matter/ITPU
COKE,Coke,2,http://publications.europa.eu/resource/authority/subject-matter/COKE
ACSP,Special steels,2,http://publications.europa.eu/resource/authority/subject-matter/ACSP
RULESPRO,Rules of procedure,2,http://publications.europa.eu/resource/authority/subject-matter/RULESPRO
TRDM,Trade measures,2,http://publications.europa.eu/resource/authority/subject-matter/TRDM
OP_DATPRO,Provisional data,1,http://publications.europa.eu/resource/authority/subject-matter/OP_DATPRO
FER,Iron,1,http://publications.europa.eu/resource/authority/subject-matter/FER
FERR,Scrap,1,http://publications.europa.eu/resource/authority/subject-matter/FERR
ENRM,Energy measures,1,http://publications.europa.eu/resource/authority/subject-matter/ENRM
CV19,COVID-19,1,http://publications.europa.eu/resource/authority/subject-matter/CV19
MSWU,EU measures in solidarity with Ukraine,1,http://publications.europa.eu/resource/authority/subject-matter/MSWU
